18,15-19,10-19,18-29,*
19,15-19,10-19,18-29,*
20,20-24,20-29,18-29,*
21,20-24,20-29,18-29,*
22,20-24,20-29,18-29,*
23,20-24,20-29,18-29,*
24,20-24,20-29,18-29,*
25,25-29,20-29,18-29,*
26,25-29,20-29,18-29,*
27,25-29,20-29,18-29,*
28,25-29,20-29,18-29,*
29,25-29,20-29,18-29,*
30,30-34,30-39,30-49,*
31,30-34,30-39,30-49,*
32,30-34,30-39,30-49,*
33,30-34,30-39,30-49,*
34,30-34,30-39,30-49,*
35,35-39,30-39,30-49,*
36,35-39,30-39,30-49,*
37,35-39,30-39,30-49,*
38,35-39,30-39,30-49,*
39,35-39,30-39,30-49,*
40,40-44,40-49,30-49,*
41,40-44,40-49,30-49,*
42,40-44,40-49,30-49,*
43,40-44,40-49,30-49,*
44,40-44,40-49,30-49,*
45,45-49,40-49,30-49,*
46,45-49,40-49,30-49,*
47,45-49,40-49,30-49,*
48,45-49,40-49,30-49,*
49,45-49,40-49,30-49,*
50,50-54,50-59,50-69,*
51,50-54,50-59,50-69,*
52,50-54,50-59,50-69,*
53,50-54,50-59,50-69,*
54,50-54,50-59,50-69,*
55,55-59,50-59,50-69,*
56,55-59,50-59,50-69,*
57,55-59,50-59,50-69,*
58,55-59,50-59,50-69,*
59,55-59,50-59,50-69,*
60,60-64,60-69,50-69,*
61,60-64,60-69,50-69,*
62,60-64,60-69,50-69,*
63,60-64,60-69,50-69,*
64,60-64,60-69,50-69,*
65,65-69,60-69,50-69,*
66,65-69,60-69,50-69,*
67,65-69,60-69,50-69,*
68,65-69,60-69,50-69,*
69,65-69,60-69,50-69,*
70,70-74,70-79,70+,*
71,70-74,70-79,70+,*
72,70-74,70-79,70+,*
73,70-74,70-79,70+,*
74,70-74,70-79,70+,*
75,75-79,70-79,70+,*
76,75-79,70-79,70+,*
77,75-79,70-79,70+,*
78,75-79,70-79,70+,*
79,75-79,70-79,70+,*
80,80-84,80-89,70+,*
81,80-84,80-89,70+,*
82,80-84,80-89,70+,*
83,80-84,80-89,70+,*
84,80-84,80-89,70+,*
85,85-89,80-89,70+,*
